ID da fila;ID do pedido;Data do pedido;Data de envio;Modo de envio;ID do cliente;Nome do cliente;Segmento;Cidade;longitude;latitude;Estado;País/Região;Região;ID do produto;Categoria;Sub-categoria;Nome do produto;Vendas;Quantidade;Desconto;Lucro
60;MX-2020-152611;12/10/2020;18/10/2020;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;pinheiro;-45,0839266;-2,5227405;Maranhão;Brasil;Sul;TEC-TE-10003922;Tecnologia;Telefones;Samsung Telefone do escritório, Azul;3913,2;9;0;1447,2
62;MX-2021-116337;16/05/2021;16/05/2021;No mesmo dia;MS-18205;Maria Santos;Grande Empresa;lençóis paulista;-48,79868197;-22,597507;São Paulo;Brasil;Sul;MÓV-ES-10003326;Móveis;Estantes;Safco Estante tradicional, Metal;8752,2;3;0;1399,8
71;US-2021-120194;12/09/2021;19/09/2021;Classe padrão;VD-21445;Vitór Dias;Grande Empresa;abreu e lima;-34,89913058;-7,90444899;Pernambuco;Brasil;Sul;MÓV-ME-10001141;Móveis;Mesas;Chromcraft Mesa de conferência, Retangular;9282,56;2;0,2;-812,24
96;MX-2018-112319;20/04/2018;26/04/2018;Classe padrão;KB-16465;Kauê Barbosa;Varejo;natal;-35,25225473;-5,750898538;Rio Grande do Norte;Brasil;Sul;MÓV-ES-10001958;Móveis;Estantes;Dania Par, Preto;5759,6;7;0;1208,2
97;MX-2018-112319;20/04/2018;26/04/2018;Classe padrão;KB-16465;Kauê Barbosa;Varejo;natal;-35,25225473;-5,750898538;Rio Grande do Norte;Brasil;Sul;TEC-AC-10001104;Tecnologia;Acessórios;Enermax Pen drive, Econômico;553,6;2;0;16,4
108;US-2021-112368;08/06/2021;12/06/2021;Segunda classe;VC-21265;Vinícius Cunha;Grande Empresa;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-AR-10001367;Material de escritório;Arte;Stanley Canetas, Azul;160,8;4;0,4;-53,6
109;US-2021-112368;08/06/2021;12/06/2021;Segunda classe;VC-21265;Vinícius Cunha;Grande Empresa;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-PA-10004245;Material de escritório;Papel;Green Bar Agenda, Embalagem com 12;111,72;1;0,4;-1,88
117;MX-2021-167801;28/11/2021;02/12/2021;Segunda classe;SS-20410;Sarah Santos;Varejo;curitiba;-49,27184789;-25,432956;Paraná;Brasil;Sul;TEC-TE-10003100;Tecnologia;Telefones;Cisco Smart Phone, Embalagem tipo bulk;4619;5;0;1016
125;MX-2021-148488;04/06/2021;06/06/2021;Primeira classe;IB-15130;Igor Barbosa;Varejo;joão pessoa;-34,87338481;-7,14938202;Paraíba;Brasil;Sul;MÓV-CA-10001401;Móveis;Cadeiras;Novimex Cadeira de praia, Preto;1451;5;0;638
126;MX-2021-148488;04/06/2021;06/06/2021;Primeira classe;IB-15130;Igor Barbosa;Varejo;joão pessoa;-34,87338481;-7,14938202;Paraíba;Brasil;Sul;TEC-CO-10000153;Tecnologia;Copiadoras;Canon Copiadora para uso pessoal, Colorida;1918,5552;2;0,002;745,7552
127;MX-2021-148488;04/06/2021;06/06/2021;Primeira classe;IB-15130;Igor Barbosa;Varejo;joão pessoa;-34,87338481;-7,14938202;Paraíba;Brasil;Sul;MAT-EN-10003545;Material de escritório;Envelopes;GlobeWeis Com lacre, Reciclado;1992;8;0;636,8
128;MX-2021-148488;04/06/2021;06/06/2021;Primeira classe;IB-15130;Igor Barbosa;Varejo;joão pessoa;-34,87338481;-7,14938202;Paraíba;Brasil;Sul;MÓV-CA-10003984;Móveis;Cadeiras;Office Star Cadeira de balanço, Ajustável;1912;2;0;382,4
129;MX-2021-148488;04/06/2021;06/06/2021;Primeira classe;IB-15130;Igor Barbosa;Varejo;joão pessoa;-34,87338481;-7,14938202;Paraíba;Brasil;Sul;MAT-AR-10002409;Material de escritório;Arte;Boston Tela, Embalagem tipo bulk;1078,2;3;0;517,2
140;MX-2020-158071;16/10/2020;20/10/2020;Classe padrão;LP-17500;Luana Pinto;Varejo;caxias do sul;-51,17886021;-29,16689901;Rio Grande do Sul;Brasil;Sul;TEC-MÁ-10001128;Tecnologia;Máquinas;Panasonic Impressora de crachás, Durável;3478,8;3;0;1217,4
141;MX-2020-158071;16/10/2020;20/10/2020;Classe padrão;LP-17500;Luana Pinto;Varejo;caxias do sul;-51,17886021;-29,16689901;Rio Grande do Sul;Brasil;Sul;MAT-FI-10000594;Material de escritório;Fichários;Wilson Jones Pasta argolada, Durável;290,4;3;0;19,8
155;MX-2018-140032;15/07/2018;21/07/2018;Classe padrão;GO-14785;Giovanna Oliveira;Grande Empresa;juazeiro;-40,50355216;-9,410717096;Bahia;Brasil;Sul;MAT-MA-10003063;Material de escritório;Materiais;Acme Tesouras, Industrial;1030,8;3;0;267,6
208;US-2021-146080;01/04/2021;01/04/2021;No mesmo dia;MS-18220;Maria Silva;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MÓV-CA-10000195;Móveis;Cadeiras;Novimex Cadeira dobrável, Ajustável;677,76;2;0,4;-440,64
209;US-2021-146080;01/04/2021;01/04/2021;No mesmo dia;MS-18220;Maria Silva;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-FI-10000250;Material de escritório;Fichários;Ibico Encadernadora, Durável;635,04;6;0,7;-1461,36
210;US-2021-146080;01/04/2021;01/04/2021;No mesmo dia;MS-18220;Maria Silva;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-EN-10002041;Material de escritório;Envelopes;Kraft Envelope kraft, Vermelho;240,24;2;0,4;31,84
211;US-2021-146080;01/04/2021;01/04/2021;No mesmo dia;MS-18220;Maria Silva;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-FI-10003394;Material de escritório;Fichários;Avery Divisórias, Transparente;23,16;2;0,7;-25,64
212;US-2021-146080;01/04/2021;01/04/2021;No mesmo dia;MS-18220;Maria Silva;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-CO-10000358;Material de escritório;Colchetes;Stockwell Grampos, Embalagem com 12;81,84;2;0,4;-20,56
213;US-2021-146080;01/04/2021;01/04/2021;No mesmo dia;MS-18220;Maria Silva;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-EN-10004394;Material de escritório;Envelopes;Ames Malote, Conjunto de 50;1985,28;11;0,4;-232,32
215;MX-2021-134306;28/10/2021;01/11/2021;Classe padrão;ES-13435;Emilly Silva;Varejo;osasco;-46,78881014;-23,533612;São Paulo;Brasil;Sul;MAT-FI-10000452;Material de escritório;Fichários;Ibico Reforço para fichário, Transparente;86;2;0;36
252;US-2020-141257;31/01/2020;05/02/2020;Segunda classe;TA-20845;Thaís Alves;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MÓV-ES-10004629;Móveis;Estantes;Bush Estante, Preto;2497,2;5;0,4;-333,8
253;US-2020-141257;31/01/2020;05/02/2020;Segunda classe;TA-20845;Thaís Alves;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-ET-10002536;Material de escritório;Etiquetas;Smead Etiquetas de envio, Vermelho;91,44;2;0,4;-1,76
254;US-2020-141257;31/01/2020;05/02/2020;Segunda classe;TA-20845;Thaís Alves;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-ET-10000163;Material de escritório;Etiquetas;Novimex Etiquetas redondas, Vermelho;97,44;4;0,4;-6,56
258;MX-2019-127565;23/05/2019;29/05/2019;Classe padrão;NR-19300;Nicole Ribeiro;Varejo;barretos;-48,56737784;-20,55845552;São Paulo;Brasil;Sul;MAT-ET-10003958;Material de escritório;Etiquetas;Smead Etiquetas jurídicas, Branco;518;7;0;0
263;MX-2020-131961;05/07/2020;09/07/2020;Classe padrão;KO-16285;Kauã Oliveira;Pequenas e Medias Empresas;santiago;-54,86907585;-29,19146017;Santiago;Chile;Sul;MAT-PA-10001484;Material de escritório;Papel;Eaton Resma, Reciclado;1234,8;7;0;418,6
268;MX-2021-159282;21/07/2021;26/07/2021;Classe padrão;EF-13510;Emily Fernandes;Grande Empresa;maringá;-51,93988187;-23,42228;Paraná;Brasil;Sul;MÓV-CA-10001628;Móveis;Cadeiras;Novimex Poltrona, Preto;6073,6;2;0;1336
269;MX-2021-159282;21/07/2021;26/07/2021;Classe padrão;EF-13510;Emily Fernandes;Grande Empresa;maringá;-51,93988187;-23,42228;Paraná;Brasil;Sul;MAT-EN-10004625;Material de escritório;Envelopes;Ames Com lacre, Reciclado;924;4;0;452
270;MX-2021-159282;21/07/2021;26/07/2021;Classe padrão;EF-13510;Emily Fernandes;Grande Empresa;maringá;-51,93988187;-23,42228;Paraná;Brasil;Sul;MAT-CO-10002664;Material de escritório;Colchetes;Stockwell Alfinetes, Embalagem com 12;268,2;3;0;2,4
279;MX-2018-102771;08/10/2018;11/10/2018;Segunda classe;LD-16975;Leonardo Dias;Pequenas e Medias Empresas;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MAT-AR-10002707;Material de escritório;Arte;Sanford Marcador, Metal;326,8;2;0;62
280;MX-2019-119249;05/07/2019;05/07/2019;No mesmo dia;CC-11875;Caio Castro;Varejo;paço do lumiar;-44,09869235;-2,528063;Maranhão;Brasil;Sul;TEC-TE-10004283;Tecnologia;Telefones;Samsung Carregador, Tamanhos variados;34080;8;0;2385,6
281;US-2021-128279;20/11/2021;25/11/2021;Classe padrão;KD-16405;Kauan Dias;Pequenas e Medias Empresas;blumenau;-49,05763088;-26,91610771;Santa Catarina;Brasil;Sul;MÓV-MÓ-10004577;Móveis;Móveis;Advantus Lâmpada, Premium;149,52;3;0,6;-224,28
284;US-2021-127600;17/04/2021;22/04/2021;Classe padrão;SC-20275;Samuel Costa;Grande Empresa;salvador;-38,48806148;-13,01477191;Bahia;Brasil;Sul;MAT-AR-10002589;Material de escritório;Armazenamento;Fellowes Caixa, Tamanho real;315,36;6;0,6;-410,64
293;MX-2020-143000;19/02/2020;23/02/2020;Classe padrão;EO-13690;Enzo Oliveira;Varejo;ananindeua;-48,37206665;-1,368713568;Pará;Brasil;Sul;MÓV-ME-10003990;Móveis;Mesas;HON Mesa de conferência, Branco;19704,96;4;0,2;492,16
294;MX-2020-103527;03/09/2020;08/09/2020;Classe padrão;EG-13330;Eduardo Goncalves;Varejo;santiago;-54,86907585;-29,19146017;Santiago;Chile;Sul;MAT-PA-10000521;Material de escritório;Papel;Enermax Caderno, Embalagem com 12;1305,6;6;0;313,2
301;US-2019-139892;01/11/2019;06/11/2019;Classe padrão;DB-12880;Diego Barros;Grande Empresa;salvador;-38,48806148;-13,01477191;Bahia;Brasil;Sul;MAT-CO-10000361;Material de escritório;Colchetes;Stockwell Grampos, Metal;232,96;8;0,6;-75,84
302;US-2019-139892;01/11/2019;06/11/2019;Classe padrão;DB-12880;Diego Barros;Grande Empresa;salvador;-38,48806148;-13,01477191;Bahia;Brasil;Sul;MAT-PA-10000941;Material de escritório;Papel;Xerox Cadernetas, Premium;180,4;5;0,6;-54,6
332;MX-2018-161116;19/10/2018;23/10/2018;Classe padrão;FR-14230;Felipe Ribeiro;Grande Empresa;paulista;-37,62105567;-6,59406158;Pernambuco;Brasil;Sul;MAT-FI-10002974;Material de escritório;Fichários;Acco Capa para fichário, Transparente;766,8;9;0;343,8
333;MX-2018-161116;19/10/2018;23/10/2018;Classe padrão;FR-14230;Felipe Ribeiro;Grande Empresa;paulista;-37,62105567;-6,59406158;Pernambuco;Brasil;Sul;MAT-PA-10002164;Material de escritório;Papel;Xerox Artigos de papelaria, Embalagem com 12;654,8;2;0;235,6
338;US-2020-104283;26/07/2020;27/07/2020;Primeira classe;LM-17590;Lucas Melo;Grande Empresa;paraná;-38,31112885;-6,485330501;Entre Ríos;Argentina;Sul;TEC-CO-10003534;Tecnologia;Copiadoras;Sharp Copiadora para uso pessoal, Digital;2384,824;5;0,402;-248,176
339;MX-2020-147242;04/05/2020;11/05/2020;Classe padrão;MG-18250;Mariana Gomes;Grande Empresa;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MAT-CO-10001412;Material de escritório;Colchetes;Accos Grampos, Metal;147,6;2;0;33,6
340;MX-2020-147242;04/05/2020;11/05/2020;Classe padrão;MG-18250;Mariana Gomes;Grande Empresa;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MÓV-ES-10004613;Móveis;Estantes;Sauder Gaveteiro, Branco;2256;2;0;428,4
341;MX-2020-147242;04/05/2020;11/05/2020;Classe padrão;MG-18250;Mariana Gomes;Grande Empresa;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;TEC-TE-10002603;Tecnologia;Telefones;Motorola Smart Phone, Embalagem tipo bulk;2597,4;3;0;207,6
343;MX-2019-113502;17/03/2019;21/03/2019;Classe padrão;TP-20980;Tomás Pinto;Grande Empresa;ituiutaba;-49,46223519;-18,97306768;Minas Gerais;Brasil;Sul;TEC-AC-10000500;Tecnologia;Acessórios;SanDisk Teclado numérico, Programável;758;2;0;113,6
344;MX-2019-113502;17/03/2019;21/03/2019;Classe padrão;TP-20980;Tomás Pinto;Grande Empresa;ituiutaba;-49,46223519;-18,97306768;Minas Gerais;Brasil;Sul;MÓV-CA-10001016;Móveis;Cadeiras;Harbour Creations Protetor de piso, Preto;2319;5;0;394
345;MX-2019-113502;17/03/2019;21/03/2019;Classe padrão;TP-20980;Tomás Pinto;Grande Empresa;ituiutaba;-49,46223519;-18,97306768;Minas Gerais;Brasil;Sul;MÓV-ME-10004157;Móveis;Mesas;Barricks Mesa de conferência, Branco;14548,32;3;0,2;-545,88
350;MX-2019-136455;03/03/2019;08/03/2019;Classe padrão;NO-19285;Nicole Oliveira;Varejo;guarapuava;-51,46343108;-25,39359198;Paraná;Brasil;Sul;MAT-ET-10002208;Material de escritório;Etiquetas;Harbour Creations Etiquetas jurídicas, Vermelho;215,4;3;0;105
365;MX-2020-121531;16/08/2020;21/08/2020;Segunda classe;VC-21640;Vitoria Cavalcanti;Varejo;brasília;-47,88790548;-15,79408736;Distrito Federal;Brasil;Sul;MÓV-CA-10003610;Móveis;Cadeiras;Office Star Protetor de piso, Vermelho;3949,2;9;0;513
366;MX-2020-121531;16/08/2020;21/08/2020;Segunda classe;VC-21640;Vitoria Cavalcanti;Varejo;brasília;-47,88790548;-15,79408736;Distrito Federal;Brasil;Sul;TEC-TE-10001816;Tecnologia;Telefones;Nokia Headset, Embalagem tipo bulk;2440;5;0;561
379;MX-2018-137652;10/09/2018;15/09/2018;Classe padrão;MA-18790;Matilde Alves;Pequenas e Medias Empresas;ijuí;-53,91806684;-28,38853654;Rio Grande do Sul;Brasil;Sul;MÓV-ES-10001606;Móveis;Estantes;Dania Estante tradicional, Tradicional;13692;5;0;6709
380;MX-2018-137652;10/09/2018;15/09/2018;Classe padrão;MA-18790;Matilde Alves;Pequenas e Medias Empresas;ijuí;-53,91806684;-28,38853654;Rio Grande do Sul;Brasil;Sul;MÓV-ES-10000278;Móveis;Estantes;Safco Estante, Metal;1979,2;2;0;455,2
381;MX-2018-137652;10/09/2018;15/09/2018;Classe padrão;MA-18790;Matilde Alves;Pequenas e Medias Empresas;ijuí;-53,91806684;-28,38853654;Rio Grande do Sul;Brasil;Sul;MAT-AR-10004675;Material de escritório;Armazenamento;Tenex Bandejas, Azul;1445,6;4;0;129,6
403;MX-2021-105557;27/03/2021;29/03/2021;Primeira classe;DC-12895;Diego Costa;Varejo;santiago;-54,86907585;-29,19146017;Santiago;Chile;Sul;MAT-AR-10004523;Material de escritório;Armazenamento;Fellowes Carrinho bandeja, Tamanho real;4578;5;0;549
404;MX-2021-105557;27/03/2021;29/03/2021;Primeira classe;DC-12895;Diego Costa;Varejo;santiago;-54,86907585;-29,19146017;Santiago;Chile;Sul;MAT-CO-10002467;Material de escritório;Colchetes;Accos Grampos, Embalagem tipo bulk;365;5;0;135
417;US-2020-135951;13/09/2020;19/09/2020;Classe padrão;DS-12925;Diego Silva;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;TEC-AC-10003900;Tecnologia;Acessórios;Enermax Teclado numérico, Econômico;687,96;3;0,4;-458,64
418;US-2019-153983;18/04/2019;23/04/2019;Classe padrão;FC-14305;Fernanda Correia;Varejo;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-FI-10000939;Material de escritório;Fichários;Ibico Perfurador, Transparente;239,28;4;0,7;-399,12
425;MX-2019-159702;30/12/2019;06/01/2020;Classe padrão;AB-10255;Alice Barbosa;Pequenas e Medias Empresas;goiânia;-49,25581428;-16,67330977;Goiás;Brasil;Sul;MAT-ET-10000900;Material de escritório;Etiquetas;Novimex Etiquetas para organização de pastas, Durável;172,8;3;0;60
437;US-2018-122651;23/06/2018;29/06/2018;Classe padrão;CD-12325;Carolina Dias;Pequenas e Medias Empresas;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MÓV-ME-10000701;Móveis;Mesas;Barricks Mesa de centro, Branco;1822,14;3;0,7;-2673,06
438;US-2018-122651;23/06/2018;29/06/2018;Classe padrão;CD-12325;Carolina Dias;Pequenas e Medias Empresas;buenos aires;-35,32957041;-7,72437221;Cidade Autônoma de Buenos Aires;Argentina;Sul;MAT-FI-10002381;Material de escritório;Fichários;Acco Divisórias, Reciclado;17,88;1;0,7;-28,72
441;MX-2019-165974;14/09/2019;19/09/2019;Segunda classe;VR-21325;Vinicius Ribeiro;Varejo;paranaguá;-48,52473284;-25,5068415;Paraná;Brasil;Sul;TEC-CO-10002556;Tecnologia;Copiadoras;Brother Fax sem fio, Colorida;10119,72;4;0,002;587,72
447;MX-2019-133893;30/07/2019;03/08/2019;Classe padrão;JC-15550;José Cavalcanti;Pequenas e Medias Empresas;itapetininga;-48,0461429;-23,5878725;São Paulo;Brasil;Sul;MAT-AR-10000520;Material de escritório;Armazenamento;Tenex Caixa, Industrial;339,6;3;0;57,6
448;MX-2019-133893;30/07/2019;03/08/2019;Classe padrão;JC-15550;José Cavalcanti;Pequenas e Medias Empresas;itapetininga;-48,0461429;-23,5878725;São Paulo;Brasil;Sul;MAT-FI-10003284;Material de escritório;Fichários;Cardinal Pasta argolada, Transparente;88,6;1;0;12,4
464;MX-2018-158680;23/06/2018;28/06/2018;Classe padrão;EC-13165;Eduarda Carvalho;Grande Empresa;cubatão;-46,42003177;-23,883839;São Paulo;Brasil;Sul;MÓV-MÓ-10004937;Móveis;Móveis;Rubbermaid Relógio de parede, Preto;668,8;2;0;327,6
470;MX-2019-145128;09/06/2019;11/06/2019;Segunda classe;LR-16675;Laura Ribeiro;Grande Empresa;porto alegre;-51,22866046;-30,03003677;Rio Grande do Sul;Brasil;Sul;MAT-ET-10000311;Material de escritório;Etiquetas;Avery Etiquetas de envio, Ajustável;325;5;0;136
471;MX-2018-146024;11/06/2018;16/06/2018;Segunda classe;EB-13975;Evelyn Barbosa;Varejo;brasília;-47,88790548;-15,79408736;Distrito Federal;Brasil;Sul;TEC-TE-10000505;Tecnologia;Telefones;Apple Caixa de som, Tamanho real;3363,6;3;0;369,6
488;MX-2019-129224;15/11/2019;19/11/2019;Segunda classe;DC-12895;Diego Costa;Varejo;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MAT-AR-10000872;Material de escritório;Armazenamento;Tenex Carrinho bandeja, Industrial;3589,6;4;0;1040,8
511;MX-2019-118080;29/12/2019;03/01/2020;Classe padrão;DS-12850;Davi Santos;Varejo;goiânia;-49,25581428;-16,67330977;Goiás;Brasil;Sul;MÓV-MÓ-10001428;Móveis;Móveis;Rubbermaid Moldura, Premium;1446,8;2;0;130
512;MX-2019-118080;29/12/2019;03/01/2020;Classe padrão;DS-12850;Davi Santos;Varejo;goiânia;-49,25581428;-16,67330977;Goiás;Brasil;Sul;MAT-AR-10000892;Material de escritório;Armazenamento;Smead Carrinho bandeja, Industrial;6873,6;8;0;2611,2
525;MX-2020-144141;23/07/2020;27/07/2020;Classe padrão;BR-11200;Beatriz Rocha;Varejo;limeira;-47,40193952;-22,562194;São Paulo;Brasil;Sul;MÓV-MÓ-10002335;Móveis;Móveis;Advantus Relógio de parede, Preto;3083,4;9;0;892,8
526;MX-2020-144141;23/07/2020;27/07/2020;Classe padrão;BR-11200;Beatriz Rocha;Varejo;limeira;-47,40193952;-22,562194;São Paulo;Brasil;Sul;TEC-AC-10003900;Tecnologia;Acessórios;Enermax Teclado numérico, Econômico;1528,8;4;0;0
527;MX-2020-144141;23/07/2020;27/07/2020;Classe padrão;BR-11200;Beatriz Rocha;Varejo;limeira;-47,40193952;-22,562194;São Paulo;Brasil;Sul;MAT-AR-10003651;Material de escritório;Armazenamento;Rogers Caixa, Industrial;489;3;0;180,6
535;MX-2019-154179;12/12/2019;17/12/2019;Classe padrão;ES-14080;Evelyn Sousa;Grande Empresa;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MÓV-ES-10002598;Móveis;Estantes;Safco Par, Preto;1005,4;1;0;180,8
536;MX-2019-154179;12/12/2019;17/12/2019;Classe padrão;ES-14080;Evelyn Sousa;Grande Empresa;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MÓV-CA-10000433;Móveis;Cadeiras;Office Star Banqueta, Vermelho;3478,8;3;0;973,8
537;MX-2019-154179;12/12/2019;17/12/2019;Classe padrão;ES-14080;Evelyn Sousa;Grande Empresa;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;TEC-AC-10001056;Tecnologia;Acessórios;Memorex Cartão de memória, Durável;3416;5;0;888
538;MX-2019-154179;12/12/2019;17/12/2019;Classe padrão;ES-14080;Evelyn Sousa;Grande Empresa;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MÓV-MÓ-10002286;Móveis;Móveis;Deflect-O Porta retrato, Embalagem multipack;1732;5;0;710
539;MX-2019-154179;12/12/2019;17/12/2019;Classe padrão;ES-14080;Evelyn Sousa;Grande Empresa;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MAT-CO-10000999;Material de escritório;Colchetes;Advantus Clips de papel, Embalagem tipo bulk;186;2;0;61,2
540;MX-2019-154179;12/12/2019;17/12/2019;Classe padrão;ES-14080;Evelyn Sousa;Grande Empresa;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;MAT-AC-10000780;Material de escritório;Eletrônicos;Cuisinart Geladeira, Prata;13248,8;4;0;4239,2
541;MX-2019-154179;12/12/2019;17/12/2019;Classe padrão;ES-14080;Evelyn Sousa;Grande Empresa;são paulo;-46,57038318;-23,5673865;São Paulo;Brasil;Sul;TEC-CO-10004032;Tecnologia;Copiadoras;Canon Fax sem fio, Digital;17618,692;7;0,002;5260,892
561;US-2020-137589;17/10/2020;19/10/2020;Segunda classe;BA-11095;Beatriz Azevedo;Grande Empresa;belo horizonte;-43,92645317;-19,93752429;Minas Gerais;Brasil;Sul;TEC-AC-10002413;Tecnologia;Acessórios;SanDisk Teclado numérico, Reciclado;1701,12;12;0,6;-852,48
562;US-2020-137589;17/10/2020;19/10/2020;Segunda classe;BA-11095;Beatriz Azevedo;Grande Empresa;belo horizonte;-43,92645317;-19,93752429;Minas Gerais;Brasil;Sul;MÓV-ES-10002397;Móveis;Estantes;Dania Estante tradicional, Preto;2197,92;2;0,6;-1264,08
574;MX-2019-106740;20/12/2019;26/12/2019;Classe padrão;BC-11485;Breno Cardoso;Pequenas e Medias Empresas;brasília;-47,88790548;-15,79408736;Distrito Federal;Brasil;Sul;TEC-CO-10001917;Tecnologia;Copiadoras;Canon Fax e copiadora, Vermelho;3783,2184;3;0,002;1659,8184
575;MX-2019-106740;20/12/2019;26/12/2019;Classe padrão;BC-11485;Breno Cardoso;Pequenas e Medias Empresas;brasília;-47,88790548;-15,79408736;Distrito Federal;Brasil;Sul;MAT-MA-10001777;Material de escritório;Materiais;Stiletto Tesouras, Azul;472,2;3;0;226,2
